sample	medianCoverage	%Coverage>10x
213067	449.9	96.31
213073	1792.57	98.99
213074	3472.23	99.66
213076	2098.68	98.32
213072	272.5	88.95
213083	484.95	95.64
213075	2273.89	98.99
213085	2271.35	98.99
213086	2787.48	98.32
213082	2323.82	98.99
213088	704.1	98.32
213084	315.86	92.97
213094	1035.13	97.65
213096	1523.52	97.65
213095	2938.3	99.66
213093	2220.84	98.99
213089	1069.61	97.65
213097	2063.82	100
213100	644.23	98.32
213104	1709.57	97.65
213098	3438.93	100
213103	520.56	100
213105	2689.52	98.99
213101	1919.56	100
213108	1761.53	98.32
213107	2502.7	99.66
213109	727.14	97.65
213106	2956.26	99.66
213112	2291.04	99.66
213113	3000.41	99.66
213115	3866.34	99.66
213114	3209.94	99.66
213117	3034.79	98.99
213116	3585.88	99.66
213143	2885.39	99.66
213142	2491.86	98.32
213144	1043.93	98.99
213145	595.76	94.3
213147	1310.66	97.65
213146	3051.21	99.66
213153	768.58	94.97
213154	442.21	94.97
213155	916.12	95.32
213150	1234.01	98.99
213158	842.72	96.31
213165	3685.61	99.66
213159	1227.41	97.65
213164	1651.67	98.99
213162	1473.55	98.99
213171	4194.3	100
213178	3018.74	99.66
213181	3776.49	100
213180	1270.43	98.32
213182	2643.1	99.66
213183	2285.46	98.99
213184	1373.47	94.97
213188	3415.52	99.66
213186	984.16	97.32
213185	2573.9	98.99
213189	3048.19	99.33
213187	1285.23	98.99
213190	4285.31	100
213194	3652.3	98.99
213191	2711.39	99.33
213200	986.92	95.64
213210	3547.68	100
213212	1473.03	98.32
213214	2028.14	98.32
213217	2265.52	98.99
213197	966.16	94.97
213218	1273.49	98.32
213221	660.16	94.3
213225	2547.86	99.66
213223	983.71	96.98
213215	602.28	96.31
213219	1579.24	97.65
213232	3432.48	99.66
213228	3805.78	100
213231	1933.59	98.99
213235	2464.49	98.99
213233	1203.4	97.65
213236	486.98	91.63
213247	2542.08	99.66
213234	3599.81	99.66
213248	1984.74	98.32
213238	3259	99.66
213251	273.64	91.63
213254	1915.97	98.99
213252	1449.16	97.99
213253	1152.35	97.65
213257	3061.06	98.99
213256	3603.85	99.66
213255	1566.43	98.32
213261	1903.91	98.32
213262	2865.32	99.66
